50.41;0.00
50.61;5.72
42.43;14.92
38.39;30.60
30.62;48.00
38.43;282.61
-49.91;36.89
-60.84;12.88
-62.02;-14.43
-50.66;-31.76
-32.33;-52.54
-5.14;-62.54
23.45;-56.27
42.52;-45.46
91.01;-36.22
-21.61;30.93
-296.83;158.69
-337.30;17.43
-36.57;-61.26
-12.61;-65.43
17.85;-61.26
47.84;-50.84
79.83;-41.56
88.46;-2.10
64.23;23.66
55.07;45.14
43.84;91.86
52.73;13.02
41.18;26.90
28.41;36.70
14.66;42.73
0.38;46.34
-43.21;131.15
-187.86;198.35
-62.16;-8.42
-50.56;-25.15
-33.03;-43.02
-21.75;-71.14
11.37;-65.02
45.07;-78.80
53.27;-43.81
68.44;-15.62
53.52;-17.78
34.47;3.26
49.04;12.57
37.27;24.85
24.87;32.80
12.45;37.44
0.00;40.67
-19.90;44.12
-35.51;38.77
-61.61;33.74
-69.62;4.89
-106.43;-30.13
-85.53;-59.47
-39.78;-69.92
-13.02;-75.45
22.35;-72.69
51.33;-67.91
-191.43;-34.53
-151.30;-108.12
-1.49;-24.58
10.45;-1.94
15.72;1.17
110.21;3.78
154.45;80.00
122.23;128.33
24.25;73.77
-0.50;60.79
-18.33;53.79
-38.28;40.95
-68.50;36.50
12.46;39.59
-2.15;128.58
-11.82;34.50
-23.25;31.04
-27.58;19.89
-57.88;16.42
-55.98;-2.48
-136.43;-78.73
-127.57;-148.59
-40.51;-151.09
30.67;-157.42
29.78;-6.37
33.00;4.26
120.27;33.78
75.21;65.78
8.93;-111.90
45.47;-100.20
65.70;-85.10
83.84;-68.23
97.02;-47.34
108.63;-0.24
108.33;5.57
107.05;30.09
96.43;52.23
82.88;72.41
74.89;81.67
66.41;90.73
55.82;97.09
55.66;96.83
56.51;98.28
56.72;98.63
56.51;98.28
55.92;97.27
56.30;97.91
56.51;98.28
56.51;98.28
56.72;98.63
55.69;96.87
55.92;97.27
55.92;97.27
55.68;96.85
56.11;97.59
55.69;96.87
56.92;98.99
55.91;97.25
55.69;96.87
56.92;98.99
56.72;98.63
55.69;96.87
55.68;96.85
56.13;97.63
55.69;96.87
56.92;98.99
56.13;97.62
56.11;97.59
56.72;98.65
56.52;98.30
56.16;97.68
56.14;97.65
56.96;99.05
55.72;96.93
55.72;96.91
56.13;97.62
